B1,B2,B3,B4,B5,B6,B7,NDVI ,EVI,NDBI,MNDWI,RGVI
217,370,698,745,1857,1585,724,0.427363566,0.782437377,-0.079023823,-0.388523872,0.724894768
512,626,974,1118,1880,555,259,0.254169446,0.489214176,-0.544147844,0.274035317,0.543751919
397,460,814,755,2323,2344,1145,0.509421702,1.151586369,0.004499679,-0.484483851,0.713237035
59,151,442,330,1831,848,397,0.69458584,1.400447845,-0.366927958,-0.314728682,0.804143862
177,221,446,279,3035,1479,637,0.831623416,2.257166257,-0.344705361,-0.536623377,0.8423184
131,179,406,233,2549,1166,529,0.832494608,2.222222222,-0.372274563,-0.48346056,0.837813349
80,211,608,508,2172,1257,543,0.620895522,1.143328295,-0.266841645,-0.347989276,0.786534285
875,853,992,797,3397,1493,788,0.619933238,3.646563815,-0.389366053,-0.201609658,0.625250903
129,203,457,347,1978,849,415,0.701505376,1.606263541,-0.399363283,-0.300153139,0.786131387
260,367,584,416,3524,1545,769,0.788832487,2.377237265,-0.39041231,-0.451385627,0.820768741
64,150,424,239,3245,1281,566,0.862801378,2.113924051,-0.433937251,-0.502639296,0.879506173
224,309,673,552,3161,1465,656,0.702666308,1.569228919,-0.366623433,-0.370439663,0.79468986
25,208,660,638,3037,1714,819,0.652789116,1.130324161,-0.278467691,-0.443976411,0.847574544
127,260,634,567,2963,1533,741,0.678753541,1.356431159,-0.318060498,-0.414859252,0.821821587
160,215,455,300,3249,1580,699,0.830938292,2.144727273,-0.345620211,-0.552825553,0.855225989
210,265,521,380,3064,1342,597,0.779326365,1.998510797,-0.390830685,-0.440687064,0.819104182
89,195,490,481,2250,1551,768,0.647748078,1.203565111,-0.183898974,-0.519843214,0.83452415
105,186,372,499,1486,1618,950,0.497229219,0.799578743,0.042525773,-0.626130653,0.837478705
-109,198,1058,988,3857,3090,1692,0.592156863,0.864052524,-0.11040737,-0.489874638,0.854826373
228,509,1049,1285,3199,2858,1669,0.426851026,0.674656327,-0.056298498,-0.463015101,0.792458963
257,325,551,670,1534,1170,673,0.392014519,0.692862871,-0.134615385,-0.359674608,0.719151894
196,260,462,470,1496,922,471,0.521871821,1.08365019,-0.23738627,-0.332369942,0.729995897
248,328,591,519,1595,645,326,0.508987701,1.195555556,-0.424107143,-0.04368932,0.656147541
224,274,647,337,4391,1847,745,0.857445008,2.325074558,-0.40782302,-0.481154771,0.840855107
153,259,636,490,2918,1726,776,0.712441315,1.549853185,-0.25667528,-0.461473328,0.811424474
280,317,563,525,3028,2006,943,0.704475091,1.646060765,-0.203019468,-0.561697158,0.8125
561,615,862,860,1826,1449,680,0.359642591,1.017056222,-0.115114504,-0.254002596,0.577243018
65,201,543,513,1699,1143,574,0.536166365,0.906589207,-0.195636875,-0.355871886,0.781765973
606,635,814,692,2641,1359,708,0.584758476,2.398474034,-0.3205,-0.250805338,0.648601831
247,301,684,411,3481,1923,824,0.788797533,2.079664002,-0.288304959,-0.475258918,0.802586938
356,457,777,860,1597,607,327,0.2999593,0.553220237,-0.449183303,0.12283237,0.593031609
-34,86,317,379,1244,689,334,0.532963648,0.75243563,-0.287118469,-0.369781312,0.855390904
3471,3470,3222,3125,4360,2837,2301,0.16499666,-1.059540151,-0.211615951,0.063541839,0.316063765
392,484,717,744,1649,1112,606,0.378186377,0.910829308,-0.194494748,-0.215965008,0.63021007
