B1,B2,B3,B4,B5,B6,B7,NDVI ,EVI,NDBI,MNDWI,RGVI
-79,107,507,450,1385,791,406,0.509536785,0.711892797,-0.272977941,-0.218798151,0.809013833
81,173,453,334,2393,1127,557,0.755042171,1.660216094,-0.359659091,-0.426582278,0.837393423
217,370,698,745,1857,1585,724,0.427363566,0.782437377,-0.079023823,-0.388523872,0.724894768
177,250,529,413,2558,1382,651,0.721979132,1.695920304,-0.298477157,-0.446363161,0.805080066
425,521,845,820,1984,822,488,0.415121255,0.970809008,-0.414112616,0.013797241,0.614216282
303,408,715,678,2140,1225,622,0.518807665,1.160685932,-0.27191679,-0.262886598,0.704069767
512,626,974,1118,1880,555,259,0.254169446,0.489214176,-0.544147844,0.274035317,0.543751919
418,506,796,830,1878,1563,698,0.387001477,0.855091384,-0.091543156,-0.32513777,0.64357017
2568,2539,2589,2387,3711,2477,1875,0.217120367,-3.282102132,-0.199418229,0.022108172,0.353192023
3585,3513,3383,3201,4403,2736,2125,0.158074698,-1.097716895,-0.233506093,0.105736231,0.283790729
1837,1999,2504,2338,4795,2882,2168,0.344455348,1.603158032,-0.24918588,-0.070181953,0.533275992
238,363,794,624,2447,1152,648,0.593617714,1.313589854,-0.359822173,-0.183967112,0.72250605
397,460,814,755,2323,2344,1145,0.509421702,1.151586369,0.004499679,-0.484483851,0.713237035
163,321,696,681,1231,887,560,0.287656904,0.472427418,-0.162417375,-0.12065698,0.652508091
79,176,445,279,2364,1215,594,0.788876277,1.917065097,-0.321039396,-0.463855422,0.838121718
87,220,653,461,2716,1384,642,0.709789109,1.470780068,-0.324878049,-0.35886107,0.806231998
347,415,734,612,2115,1516,625,0.551155116,1.404410391,-0.164968328,-0.347555556,0.677505967
63,148,441,319,1971,1103,496,0.72139738,1.487752161,-0.28236825,-0.428756477,0.819095477
59,151,442,330,1831,848,397,0.69458584,1.400447845,-0.366927958,-0.314728682,0.804143862
177,221,446,279,3035,1479,637,0.831623416,2.257166257,-0.344705361,-0.536623377,0.8423184
131,179,406,233,2549,1166,529,0.832494608,2.222222222,-0.372274563,-0.48346056,0.837813349
80,211,608,508,2172,1257,543,0.620895522,1.143328295,-0.266841645,-0.347989276,0.786534285
110,153,399,227,2665,1157,511,0.843015214,2.115952092,-0.394557823,-0.48714653,0.850426095
350,404,710,620,2454,1583,786,0.596616786,1.457869634,-0.215754273,-0.380723942,0.725388601
875,853,992,797,3397,1493,788,0.619933238,3.646563815,-0.389366053,-0.201609658,0.625250903
124,188,466,293,3360,1503,683,0.839583904,2.067268806,-0.381863048,-0.526663281,0.863929889
156,240,603,373,4011,1725,762,0.829835766,2.043820225,-0.398535565,-0.481958763,0.852506801
128,270,668,484,3061,1648,720,0.726939351,1.634737376,-0.300063708,-0.423143351,0.813364596
121,202,572,308,3670,1544,688,0.845148316,2.099150849,-0.40774837,-0.459357278,0.851478783
132,211,514,257,3977,1464,614,0.878601795,2.361904762,-0.461863628,-0.480283114,0.866749175
132,222,480,282,2791,1156,540,0.816465994,2.225079816,-0.414238662,-0.413202934,0.83061168
47,105,409,183,2354,981,424,0.85573512,2.036203339,-0.411694153,-0.411510791,0.845997974
83,207,633,470,2718,1362,622,0.705144291,1.409757933,-0.332352941,-0.365413534,0.812073491
17,126,446,320,2473,1128,519,0.770855711,1.560597275,-0.373507359,-0.433290978,0.860205314
129,203,457,347,1978,849,415,0.701505376,1.606263541,-0.399363283,-0.300153139,0.786131387
218,224,404,233,3459,1491,631,0.873781148,2.537759597,-0.397575758,-0.573614776,0.856118436
